0.00-0.04: <s>
39.35-39.72: then
39.73-39.92: <sil>
39.93-40.05: you
40.06-40.18: can(2)
40.19-40.46: see
40.47-40.55: in
40.56-40.62: the
40.63-40.92: fridge
40.93-41.51: cheerleader
41.52-41.84: for(2)
41.85-42.20: years(2)
42.21-42.29: to(3)
42.30-42.55: come
42.56-42.59: <sil>
42.60-42.78: this
42.79-42.92: is
42.93-43.09: the
43.10-43.13: [SPEECH]
43.14-43.43: first
43.44-43.52: you
43.53-43.85: shag
43.86-43.88: <sil>
43.89-44.47: symmetry
44.48-44.62: of
44.63-44.96: duty
44.97-45.39: gould
45.40-45.49: of
45.50-45.72: time
45.73-45.82: to(2)
45.83-45.96: get(2)
45.97-46.12: off
46.13-46.21: the
46.22-46.24: <sil>
46.25-46.54: ground
46.55-46.98: once
46.99-47.18: you've
47.19-47.56: gotten(2)
47.57-47.76: off
47.77-47.83: the
47.84-48.27: ground
48.28-48.47: <sil>
48.48-48.60: to(2)
48.61-48.74: get(2)
48.75-49.05: it
49.06-49.19: he
49.20-49.47: that(2)
49.48-49.62: he
49.63-49.65: <sil>
49.66-49.86: did
49.87-50.05: it
50.06-50.36: street
50.37-50.76: music
50.77-51.13: music
51.14-51.30: on
51.31-51.43: <sil>
51.44-51.60: the
51.61-51.84: first
51.85-52.15: passive
52.16-52.37: income
52.38-52.81: strategy
52.82-52.88: to(2)
52.89-53.29: summon
53.30-53.63: up
53.64-53.85: first
53.86-53.97: and
53.98-54.24: see
54.25-54.68: friends(2)
54.69-54.74: of
54.75-55.01: mine
55.02-55.44: difference(2)
55.45-55.68: you're
55.69-56.17: thinking
56.18-56.61: what(2)
56.62-57.02: every(2)
57.03-57.38: true
57.39-57.44: <sil>
57.45-57.70: c'mon
57.71-57.78: of
57.79-58.09: time
58.10-58.31: with(2)
58.32-58.34: a
58.35-58.64: message
58.65-58.71: to(2)
58.72-59.16: create
59.17-59.29: a(2)
59.30-59.75: course
59.76-59.79: <sil>
59.80-59.97: on(2)
59.98-60.32: skills
60.33-60.58: sure
60.59-60.78: <sil>
60.79-61.24: not
61.25-61.52: everyone
61.53-61.72: has(2)
61.73-62.30: something
62.31-62.42: that(2)
62.43-62.60: didn't(4)
62.61-62.73: get(2)
62.74-63.02: it
63.03-63.05: <sil>
63.06-63.26: when(3)
63.27-63.40: you
63.41-63.52: get(2)
63.53-63.60: a
63.61-64.24: fitness
64.25-64.28: <sil>
64.29-64.83: accounting(2)
64.84-64.86: <sil>
64.87-65.59: photography
65.60-65.89: <sil>
65.90-66.27: that(2)
66.28-66.33: you
66.34-66.68: sure
66.69-66.93: people
66.94-67.18: how
67.19-67.30: to(2)
67.31-67.75: organize
67.76-68.16: falls
68.17-68.27: on(2)
68.28-68.36: your(2)
68.37-68.84: computer
68.85-68.99: <sil>
69.00-69.37: studies
69.38-69.55: or
69.56-69.79: things
69.80-70.05: that(2)
70.06-70.16: are(2)
70.17-70.47: actually(2)
70.48-70.55: <sil>
70.56-70.99: actively
71.00-71.35: looking
71.36-71.63: for
71.64-71.89: once
71.90-72.56: confirming
72.57-72.82: [NOISE]
72.83-72.92: <sil>
72.93-73.08: what
73.09-73.16: you
73.17-73.42: will(2)
73.43-73.85: notice
73.86-73.98: that(2)
73.99-74.08: the
74.09-74.38: high
74.39-74.51: is
74.52-74.87: selling
74.88-75.24: course
75.25-75.34: in
75.35-76.12: history
76.13-76.31: <sil>
76.32-76.49: was(2)
76.50-76.59: of
76.60-77.05: course
77.06-77.14: <sil>
77.15-77.39: has(2)
77.40-77.45: <sil>
77.46-77.88: excellent
77.89-78.66: spreadsheets
78.67-78.91: <sil>
78.92-79.00: the
79.01-79.28: most
79.29-79.45: evil
79.46-79.84: concern
79.85-80.20: him(2)
80.21-80.44: onto(2)
80.45-80.61: go
80.62-81.01: course
81.02-81.12: he
81.13-81.43: is
81.44-81.52: <sil>
81.53-81.64: the
81.65-82.04: ones
82.05-82.10: <sil>
82.11-82.32: we're(3)
82.33-82.57: willing
82.58-82.77: to(2)
82.78-83.34: travels
83.35-83.49: <sil>
83.50-83.57: the
83.58-83.82: number
83.83-84.18: two
84.19-84.44: <sil>
84.45-84.69: what
84.70-84.75: i
84.76-84.93: don't(2)
84.94-85.25: deliver
85.26-85.36: on(2)
85.37-85.96: price
85.97-86.03: <sil>
86.04-86.25: was(2)
86.26-86.64: culture
86.65-87.06: action
87.07-87.51: fixes
87.52-87.93: pulsing
87.94-88.11: three
88.12-88.84: shifts
88.85-89.02: to
89.03-89.41: forgive
89.42-89.62: the
89.63-90.10: hubble's
90.11-90.56: unique
90.57-90.74: view
90.75-91.27: wizard
91.28-91.35: of
91.36-91.81: natural
91.82-91.85: <sil>
91.86-92.30: organic
92.31-92.75: martin(2)
92.76-93.02: <sil>
93.03-93.15: you
93.16-93.45: also
93.46-93.60: need
93.61-93.68: to(3)
93.69-93.90: worry
93.91-94.19: bout
94.20-94.36: we
94.37-94.63: force
94.64-94.88: because(2)
94.89-95.27: people
95.28-95.53: don't(2)
95.54-95.57: <sil>
95.58-95.91: actually(2)
95.92-96.35: paid
96.36-96.50: for(2)
96.51-96.80: the
96.81-97.19: urged
97.20-97.50: skills
97.51-97.67: for(3)
97.68-97.76: the
97.77-98.03: actual(2)
98.04-98.28: want(2)
98.29-98.79: pizza
98.80-99.10: place
99.11-99.21: of
99.22-99.55: us
99.56-99.72: were
99.73-99.94: like
99.95-100.31: thus
100.32-100.51: far
100.52-100.73: far
100.74-100.94: more
100.95-101.45: where
101.46-101.62: <sil>
101.63-101.72: to(2)
101.73-101.82: go
101.83-102.05: up
102.06-102.22: [SPEECH]
102.23-102.31: the(2)
102.32-102.71: people's
102.72-102.87: two
102.88-103.16: for(3)
103.17-103.50: <sil>
103.51-103.88: haiti
103.89-104.21: certain
104.22-104.48: amount
104.49-104.62: for(2)
104.63-104.83: one(2)
104.84-105.19: thing
105.20-105.45: you
105.46-105.56: the
105.57-105.90: freer
105.91-106.16: get(2)
106.17-106.54: paid
106.55-106.74: <sil>
106.75-107.15: based
107.16-107.31: on(2)
107.32-107.38: the
107.39-107.62: mound
107.63-107.70: of
107.71-108.00: view
108.01-108.25: the
108.26-108.68: amount
108.69-108.71: <sil>
108.72-108.86: of
108.87-109.25: time
109.26-109.37: that(2)
109.38-109.47: you
109.48-109.64: can(2)
109.65-109.99: watch(2)
110.00-110.62: courses
110.63-111.01: at
111.02-111.39: reads
111.40-111.45: a(2)
111.46-111.86: lot(2)
111.87-111.96: of
111.97-112.05: the
112.06-112.51: stress
112.52-112.55: <sil>
112.56-113.25: surrounding
113.26-113.28: <sil>
113.29-113.61: actually(2)
113.62-114.06: create
114.07-114.18: a
114.19-114.71: course
114.72-114.79: of
114.80-115.29: scotia's
115.30-115.48: by
115.49-116.16: authorities
116.17-116.36: we
116.37-116.75: get(2)
116.76-117.11: course
117.12-117.18: <sil>
117.19-117.32: up
117.33-117.46: and
117.47-117.69: running
117.70-118.06: with
118.07-118.47: lou
118.48-118.74: this
118.75-118.91: is
118.92-119.24: he
119.25-119.30: <sil>
119.31-119.72: also
119.73-119.98: <sil>
119.99-120.20: can
120.21-120.32: with
120.33-120.37: a
120.38-120.83: platform
120.84-120.91: to(2)
120.92-121.29: actually(2)
121.30-121.37: <sil>
121.38-121.63: give
121.64-121.77: you
121.78-122.33: directions(4)
122.34-122.53: a(2)
122.54-122.95: tuna(2)
122.96-123.44: eyeballs
123.45-123.96: infuses
123.97-124.10: his
124.11-124.39: first
124.40-124.64: pass
124.65-125.00: and
125.01-125.42: friday
125.43-125.70: and
125.71-125.78: <sil>
125.79-126.16: insley
126.17-126.72: so
126.73-127.03: coarse
127.04-127.33: idea
127.34-127.69: <sil>
127.70-128.04: once
128.05-128.41: culture
128.42-128.56: may
128.57-128.75: be
128.76-128.96: wrong
128.97-129.13: for(2)
129.14-129.31: you
129.32-129.41: <sil>
129.42-129.52: though
129.53-129.60: the
129.61-129.86: beauty
129.87-129.94: of
129.95-130.04: the
130.05-130.34: next(2)
130.35-130.62: pass
130.63-130.84: in
130.85-131.42: construction
131.43-131.56: is
131.57-131.64: the
131.65-131.90: u.
131.91-132.05: n.
132.06-132.17: she
132.18-132.31: has(2)
132.32-132.61: decreed
132.62-132.77: <sil>
132.78-132.85: the(2)
132.86-133.12: need
133.13-133.38: for
133.39-133.44: a
133.45-133.48: <sil>
133.49-133.63: church
133.64-134.02: service(2)
134.03-134.53: yourself
134.54-134.76: <sil>
134.77-134.88: with(2)
134.89-135.03: the(2)
135.04-135.06: [SPEECH]
135.07-135.53: markings
135.54-135.66: were
135.67-135.75: you
135.76-135.96: hope
135.97-136.28: so
136.29-136.45: other
136.46-136.78: people's
136.79-137.27: prodigy
137.28-137.79: services
137.80-138.03: <sil>
138.04-138.16: that(2)
138.17-138.46: actually(2)
138.47-138.70: get(2)
138.71-139.10: caught
139.11-139.23: but
139.24-139.40: even
139.41-139.97: example
139.98-140.27: <sil>
140.28-140.63: alice(2)
140.64-141.20: overcoming
141.21-141.32: the
141.33-141.63: hopes
141.64-141.79: the(2)
141.80-142.25: consumer
142.26-142.64: sign
142.65-142.81: more
142.82-143.23: clients
143.24-143.57: putting
143.58-143.70: them(2)
143.71-143.86: for(2)
143.87-144.25: longer
144.26-144.56: [NOISE]
144.57-144.69: and(2)
144.70-145.11: simplify
145.12-145.21: the
145.22-145.89: processes
145.90-146.03: <sil>
146.04-146.13: in
146.14-146.23: with
146.24-146.37: my
146.38-146.67: business
146.68-146.98: partner
146.99-147.21: that's
147.22-147.27: a
147.28-147.32: <sil>
147.33-147.54: real
147.55-147.83: long
147.84-148.11: time
148.12-148.32: ago
148.33-148.68: floor
148.69-148.92: lot(2)
148.93-148.98: of
148.99-149.22: money
149.23-149.33: to
149.34-149.68: create
149.69-149.76: <sil>
149.77-149.91: know
149.92-150.24: aside
150.25-150.43: from
150.44-150.76: that
150.77-151.36: actual
151.37-151.57: from
151.58-151.64: a(2)
151.65-152.17: han's
152.18-152.24: of
152.25-152.75: thousands(2)
152.76-152.86: of
152.87-153.22: dollars(2)
153.23-153.25: a
153.26-153.55: year
153.56-153.73: by
153.74-154.20: promoting
154.21-154.33: <sil>
154.34-154.57: other
154.58-155.08: software(2)
155.09-155.23: is
155.24-155.55: <sil>
155.56-155.69: that(2)
155.70-155.95: salt
155.96-156.47: solution
156.48-156.76: and(2)
156.77-157.22: industries
157.23-157.36: that(2)
157.37-157.46: <sil>
157.47-157.60: i
157.61-157.75: don't(2)
157.76-157.98: have
157.99-158.06: the
158.07-158.45: knowledge
158.46-158.54: to(3)
158.55-158.78: create
158.79-158.94: is
158.95-159.36: offering
159.37-159.55: <sil>
159.56-159.65: the
159.66-159.87: best
159.88-160.02: for
160.03-160.42: adults
160.43-160.63: only
160.64-160.96: three
160.97-161.40: programs
161.41-161.48: you
161.49-161.63: get(2)
161.64-161.81: paid
161.82-162.20: twenty(2)
162.21-162.28: to(3)
162.29-162.55: forty
162.56-162.95: percent
162.96-163.15: [NOISE]
163.16-163.24: <sil>
163.25-163.40: we
163.41-163.85: occurring
163.86-163.98: <sil>
163.99-164.20: every(2)
164.21-164.47: single
164.48-164.89: malts
164.90-165.02: <sil>
165.03-165.22: put
165.23-165.40: <sil>
165.41-165.50: it
165.51-165.85: doesn't
165.86-166.14: need
166.15-166.22: to(3)
166.23-166.32: be
166.33-166.54: sought
166.55-166.82: for(2)
166.83-166.90: <sil>
166.91-167.08: me
167.09-167.15: <sil>
167.16-167.37: and(2)
167.38-167.57: some
167.58-167.70: of
167.71-167.90: the(2)
167.91-168.01: <sil>
168.02-168.19: beach
168.20-168.33: is
168.34-168.44: the
168.45-168.86: food
168.87-169.32: program
169.33-169.35: <sil>
169.36-169.49: on(2)
169.50-170.04: bursts
170.05-170.17: of
170.18-170.29: you
170.30-170.74: can(2)
170.75-171.24: recommend
171.25-171.28: a
171.29-171.61: proper
171.62-171.94: out
171.95-171.97: [SPEECH]
171.98-172.06: you
172.07-172.17: can(2)
172.18-172.31: make
172.32-172.60: that
172.61-173.01: <sil>
173.02-173.18: two
173.19-173.24: of
173.25-173.46: the(2)
173.47-173.49: <sil>
173.50-174.15: deception
174.16-174.68: blow
174.69-174.76: <sil>
174.77-174.90: to(2)
174.91-175.20: talk
175.21-175.27: to(3)
175.28-175.60: camp
175.61-175.89: <sil>
175.90-176.03: or(2)
176.04-176.25: even
176.26-176.30: a
176.31-176.51: free
176.52-176.66: to(2)
176.67-177.02: scorch
177.03-177.19: and(2)
177.20-177.38: what(2)
177.39-177.46: if
177.47-177.61: you
177.62-177.87: look
177.88-177.91: a
177.92-178.32: small
178.33-178.43: me
178.44-178.98: shortens
178.99-179.01: <sil>
179.02-179.13: you
179.14-179.25: can(2)
179.26-179.44: make
179.45-179.61: it
179.62-179.91: easy
179.92-180.14: full
180.15-180.39: time
180.40-180.52: to(2)
180.53-180.73: come
180.74-180.86: by
180.87-181.26: promoting
181.27-181.77: products(2)
181.78-181.99: <sil>
182.00-182.17: you
182.18-182.51: believe
182.52-182.77: in
182.78-183.01: <sil>
183.02-183.22: to
183.23-183.41: your(2)
183.42-183.76: audience(2)
183.77-183.86: <sil>
183.87-183.93: the
183.94-184.15: best
184.16-184.36: part
184.37-184.51: is
184.52-184.60: you
184.61-184.77: never
184.78-184.91: have
184.92-185.00: to(2)
185.01-185.22: create
185.23-185.40: these
185.41-185.91: products(2)
185.92-185.99: or(2)
186.00-186.50: services(2)
186.51-186.96: yourself
186.97-187.26: doesn't(2)
187.27-187.50: want(2)
187.51-187.63: the
187.64-188.02: next(2)
188.03-188.63: pasadena
188.64-188.82: might
188.83-188.91: be
188.92-189.00: in
189.01-189.32: twenty(2)
189.33-189.55: twenty(2)
189.56-189.79: two
189.80-189.84: <sil>
189.85-189.97: you
189.98-190.15: let
190.16-190.28: us
190.29-190.53: do
190.54-190.74: <sil>
190.75-190.99: what
191.00-191.09: she
191.10-191.54: hasn't
191.55-191.82: admit
191.83-191.92: to(3)
191.93-192.07: you
192.08-192.47: turkeys
192.48-192.76: feel
192.77-192.93: like
192.94-193.18: this
193.19-193.41: that(2)
193.42-193.55: put
193.56-193.95: out
193.96-194.04: by
194.05-194.43: your
194.44-194.80: leverage
194.81-194.99: make
195.00-195.23: one
195.24-195.32: two
195.33-195.52: three
195.53-195.87: thousand(2)
195.88-196.30: dollars(2)
196.31-196.48: to(2)
196.49-196.68: have
196.69-197.10: sex
197.11-197.29: <sil>
197.30-197.53: with(2)
197.54-197.64: you
197.65-197.88: maybe
197.89-198.09: even
198.10-198.28: ten
198.29-198.59: percent
198.60-198.68: of
198.69-198.82: <sil>
198.83-199.28: it
199.29-199.51: that
199.52-199.73: you'd
199.74-200.11: still
200.12-200.27: be
200.28-200.68: happy
200.69-200.75: in
200.76-201.41: extremely
201.42-201.89: excited(2)
201.90-202.13: creed
202.14-202.59: videos
202.60-202.81: <sil>
202.82-203.08: left
203.09-203.28: with
203.29-203.36: the
203.37-203.70: beauty
203.71-203.79: of
203.80-203.95: you
203.96-204.17: to
204.18-204.33: <sil>
204.34-204.43: we
204.44-204.62: were
204.63-205.02: kids
205.03-205.14: as(2)
205.15-205.29: young
205.30-205.36: as(2)
205.37-205.87: seven
205.88-206.07: hundred(3)
206.08-206.68: grandparents
206.69-206.88: all
206.89-207.03: those
207.04-207.51: ninety
207.52-207.92: the(2)
207.93-208.40: pool
208.41-208.72: six
208.73-209.03: figures
209.04-209.09: in
209.10-209.53: europe
209.54-209.68: <sil>
209.69-209.79: by
209.80-210.18: shooting
210.19-210.67: imposing
210.68-211.18: revealed(2)
211.19-211.39: <sil>
211.40-211.49: that(2)
211.50-211.62: he
211.63-211.81: too
211.82-211.92: is
211.93-211.99: an(2)
212.00-212.51: extremely
212.52-212.87: slow
212.88-213.22: burning
213.23-213.32: the
213.33-213.65: beginning
213.66-213.86: but
213.87-214.33: decided
214.34-214.58: not
214.59-214.76: to(2)
214.77-215.02: use(2)
215.03-215.05: <sil>
215.06-215.36: earlier
215.37-215.95: before
215.96-216.05: <sil>
216.06-216.13: it
216.14-216.31: is
216.32-216.85: truly
216.86-216.95: the(2)
216.96-217.34: gift
217.35-217.48: that(2)
217.49-217.80: keeps
217.81-217.99: on(2)
218.00-218.38: getting(2)
218.39-218.62: <sil>
218.63-218.72: to(2)
218.73-218.83: the
218.84-219.27: west
219.28-219.34: the
219.35-219.72: third
219.73-220.10: passive
220.11-220.43: income
220.44-220.68: idea
220.69-220.82: for(2)
220.83-220.97: this
220.98-221.27: video
221.28-221.31: <sil>
221.32-221.56: stay
221.57-222.18: consistent
222.19-222.43: gulf
222.44-222.61: war
222.62-222.71: to(3)
222.72-222.87: two
222.88-223.19: times
223.20-223.24: a
223.25-223.47: week
223.48-223.55: <sil>
223.56-223.71: to(2)
223.72-224.18: guarantee
224.19-224.42: within
224.43-224.71: three
224.72-224.92: hundred(3)
224.93-225.19: sixty
225.20-225.45: five
225.46-225.71: days
225.72-225.74: <sil>
225.75-225.97: you'll
225.98-226.22: see
226.23-226.33: that(2)
226.34-226.56: you're(2)
226.57-226.90: making
226.91-227.01: a(2)
227.02-227.38: good
227.39-227.68: full
227.69-228.02: time
228.03-228.14: you
228.15-228.33: come
228.34-228.69: here
228.70-229.00: <sil>
229.01-229.18: with(2)
229.19-229.30: you
229.31-229.49: to
229.50-229.71: <sil>
229.72-229.91: me
229.92-230.13: to
230.14-230.23: the
230.24-230.64: firm
230.65-230.70: of
230.71-230.86: the(2)
230.87-231.17: house
231.18-231.26: to(3)
231.27-231.49: put
231.50-231.82: yourself
231.83-232.29: doctor(2)
232.30-232.56: [NOISE]
232.57-232.64: <sil>
232.65-232.92: but
232.93-233.02: if
233.03-233.18: that
233.19-233.40: doesn't(2)
233.41-233.67: scare
233.68-233.81: you
233.82-233.97: that(2)
233.98-234.08: it
234.09-234.29: is
234.30-234.38: <sil>
234.39-234.75: usually(2)
234.76-234.93: one
234.94-234.99: of
235.00-235.12: the
235.13-235.20: <sil>
235.21-235.69: coolest
235.70-236.07: pleased
236.08-236.32: <sil>
236.33-236.42: to(2)
236.43-236.63: make
236.64-237.05: passing
237.06-237.18: them(2)
237.19-237.27: on
237.28-237.51: twenty(2)
237.52-237.76: twenty(2)
237.77-238.02: two
238.03-238.17: <sil>
238.18-238.25: the
238.26-238.49: less
238.50-238.87: passive
238.88-239.07: income
239.08-239.57: strategy
239.58-239.68: is
239.69-240.21: investing
240.22-240.40: <sil>
240.41-240.50: in
240.51-240.86: section
240.87-240.96: the(2)
240.97-241.57: truest
241.58-241.99: form
242.00-242.10: of
242.11-242.45: passive
242.46-242.72: income
242.73-242.91: <sil>
242.92-243.08: is
243.09-243.32: because(2)
243.33-243.55: all
243.56-243.70: you
243.71-244.13: need
244.14-244.23: is
244.24-244.31: the
244.32-244.82: seats
244.83-245.09: <sil>
245.10-245.29: you
245.30-245.44: need
245.45-245.57: me
245.58-245.67: to(3)
245.68-245.89: put
245.90-246.04: any
246.05-246.46: working
246.47-246.85: toward
246.86-247.01: the
247.02-247.41: plans
247.42-247.50: to(2)
247.51-247.84: get(2)
247.85-247.92: the(2)
247.93-248.31: yield
248.32-248.71: <sil>
248.72-248.91: that's
248.92-249.16: actually(2)
249.17-249.24: the
249.25-249.50: job(2)
249.51-249.56: of
249.57-249.85: someone
249.86-250.20: else
250.21-250.35: <sil>
250.36-250.85: investing
250.86-250.93: is
250.94-251.00: the
251.01-251.21: most
251.22-251.78: reliable
251.79-251.96: way
251.97-252.08: to(3)
252.09-252.30: become
252.31-252.33: a
252.34-252.89: millionaire
252.90-253.15: over
253.16-253.24: a(2)
253.25-253.53: long
253.54-253.75: enough
253.76-254.02: period
254.03-254.10: of
254.11-254.40: time
254.41-254.57: <sil>
254.58-254.67: that(2)
254.68-254.79: you
254.80-254.90: could
254.91-255.42: investment(2)
255.43-255.55: s.
255.56-255.64: and
255.65-255.76: p.
255.77-256.00: five
256.01-256.33: hundred(2)
256.34-256.41: you
256.42-256.63: can(2)
256.64-256.83: guess
256.84-257.27: who's
257.28-257.62: the(2)
257.63-257.67: [SPEECH]
257.68-257.90: best
257.91-257.96: [SPEECH]
257.97-258.45: crypto
258.46-258.61: <sil>
258.62-258.80: <sil>
258.81-258.92: you
258.93-259.14: really
259.15-259.31: just(2)
259.32-259.48: take
259.49-259.57: your(2)
259.58-259.77: pick
259.78-260.13: up
260.14-260.20: the
260.21-260.42: most(2)
260.43-260.83: important
260.84-261.03: thing
261.04-261.14: is
261.15-261.28: that(2)
261.29-261.38: you
261.39-261.55: <sil>
261.56-262.22: understand
262.23-262.41: with(2)
262.42-262.94: invested(2)
262.95-263.11: in
263.12-263.27: [NOISE]
263.28-263.41: <sil>
263.42-263.57: you
263.58-263.71: have
263.72-263.77: a(2)
263.78-264.13: long
264.14-264.34: term
264.35-264.41: <sil>
264.42-264.87: horizon
264.88-265.03: on(2)
265.04-265.11: a
265.12-265.19: <sil>
265.20-265.47: tree
265.48-265.93: pursuing
265.94-265.99: a
266.00-266.43: kindness
266.44-266.87: encrypted(2)
266.88-267.33: currency
267.34-267.46: in
267.47-268.08: washington(2)
268.09-268.27: mean
268.28-268.55: the(2)
268.56-268.58: <sil>
268.59-268.78: good
268.79-268.88: the
268.89-269.13: witness
269.14-269.29: of
269.30-269.40: the(2)
269.41-269.79: long
269.80-269.98: term
269.99-270.41: adoption
270.42-270.52: of
270.53-270.69: it
270.70-270.78: as(2)
270.79-271.19: was
271.20-271.84: incredible
271.85-272.21: risk
272.22-272.62: toward
272.63-273.13: returns
273.14-273.28: and(2)
273.29-273.57: watch(2)
273.58-273.70: it
273.71-273.97: because(2)
273.98-274.09: i
274.10-274.16: <sil>
274.17-274.76: understand
274.77-275.05: very
275.06-275.38: well
275.39-275.58: <sil>
275.59-275.73: that(2)
275.74-276.14: stuff
276.15-276.29: on(2)
276.30-276.67: active
276.68-277.24: investment(2)
277.25-277.30: i
277.31-277.45: get(2)
277.46-277.52: to(3)
277.53-277.82: where
277.83-277.99: it
278.00-278.04: <sil>
278.05-278.35: plus
278.36-278.67: enjoy(2)
278.68-278.99: to
279.00-279.08: <sil>
279.09-279.27: not
279.28-279.56: only
279.57-279.80: for
279.81-280.25: charities
280.26-280.58: have
280.59-280.68: the(2)
280.69-281.06: potential
281.07-281.17: to(3)
281.18-281.33: make
281.34-281.44: you
281.45-281.52: a(2)
281.53-281.99: good
282.00-282.46: both
282.47-282.91: passive
282.92-283.39: income
283.40-283.54: <sil>
283.55-283.70: the
283.71-283.98: real
283.99-284.60: secret
284.61-284.91: real
284.92-285.36: money
285.37-285.58: <sil>
285.59-285.90: comes
285.91-286.00: in
286.01-286.58: starting
286.59-286.74: on(2)
286.75-286.91: line
286.92-286.94: <sil>
286.95-287.13: this
287.14-287.30: is
287.31-287.50: the
287.51-287.53: <sil>
287.54-287.76: has
287.77-287.83: the
287.84-288.22: potential
288.23-288.31: to(3)
288.32-288.46: make
288.47-288.56: two
288.57-288.90: hundred(3)
288.91-289.21: thousand(2)
289.22-289.54: dollars(2)
289.55-289.57: a
289.58-289.86: year
289.87-289.96: to(3)
289.97-290.25: <sil>
290.26-290.45: ten
290.46-290.83: more
290.84-290.91: <sil>
290.92-291.13: than
291.14-291.56: tripled
291.57-291.71: in
291.72-291.86: the(2)
291.87-292.03: u.
292.04-292.31: or
292.32-292.40: the
292.41-292.53: <sil>
292.54-292.89: best
292.90-293.00: <sil>
293.01-293.31: morals
293.32-293.42: and
293.43-293.67: twenty(2)
293.68-293.90: twenty(2)
293.91-294.14: two
294.15-294.26: in
294.27-294.61: order
294.62-294.76: to
294.77-295.03: that
295.04-295.26: <sil>
295.27-295.45: not
295.46-295.59: so
295.60-295.82: long
295.83-296.11: and
296.12-296.19: the
296.20-296.44: guys
296.45-296.67: that
296.68-296.89: you
296.90-297.31: love
297.32-297.56: that
297.57-297.91: video
297.92-298.16: tape
298.17-298.60: famous
298.61-298.76: for(3)
298.77-298.91: his
298.92-299.35: fever
299.36-299.83: deal
299.84-299.89: <sil>
299.90-300.02: of
300.03-300.33: twenty(2)
300.34-300.57: twenty(2)
300.58-300.74: two
300.75-300.90: so
300.91-301.53: forceful
301.54-301.80: and
301.81-301.97: leave
301.98-302.35: that
302.36-302.44: in
302.45-302.50: the
302.51-303.04: description
